,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
96859,0,ADULT,8,12,45 to 54 years,M6,Mission,July,2016.0,z,email,True,2013,True,
101054,0,ADULT,5,7,45 to 54 years,X,Main Library,May,2016.0,z,email,True,2015,True,
154048,0,ADULT,0,0,20 to 24 years,X,Main Library,June,2016.0,z,email,True,2016,True,
269544,0,ADULT,7,15,20 to 24 years,M2,Marina,March,2016.0,z,email,True,2015,True,
251649,0,ADULT,10,9,60 to 64 years,X,Main Library,April,2016.0,z,email,True,2015,True,
12987,0,ADULT,0,0,20 to 24 years,M4,Merced,December,2015.0,z,email,True,2013,True,
277999,0,ADULT,12,0,35 to 44 years,P3,Parkside,July,2016.0,a,print,False,2014,True,
93200,0,ADULT,118,202,45 to 54 years,E9,Excelsior,May,2015.0,p,phone,False,2005,True,
240987,0,ADULT,7,0,35 to 44 years,X,Main Library,January,2016.0,z,email,True,2015,True,
310280,1,JUVENILE,78,121,10 to 19 years,O7,Ortega,January,2016.0,z,email,True,2009,True,
25562,0,ADULT,3,1,35 to 44 years,G4,Glen Park,September,2015.0,p,phone,False,2015,True,
251541,0,ADULT,70,136,55 to 59 years,X,Main Library,March,2015.0,z,email,True,2003,True,
42398,0,ADULT,3,0,20 to 24 years,X,Main Library,April,2015.0,z,email,True,2015,True,
146973,4,WELCOME,1,0,45 to 54 years,X,Main Library,June,2015.0,p,phone,False,2015,True,
224346,0,ADULT,39,0,55 to 59 years,X,Main Library,April,2016.0,z,email,True,2011,True,
267667,0,ADULT,2,0,25 to 34 years,M4,Merced,May,2016.0,z,email,True,2010,True,
38444,0,ADULT,71,97,35 to 44 years,X,Main Library,June,2015.0,z,email,True,2009,True,
137832,0,ADULT,233,36,25 to 34 years,X,Main Library,March,2015.0,z,email,True,2003,True,
56649,0,ADULT,9,0,45 to 54 years,X,Main Library,February,2016.0,a,print,False,2015,True,
102246,0,ADULT,230,245,25 to 34 years,R3,Richmond,July,2016.0,z,email,True,2010,True,9.0
4245,3,SENIOR,3,0,65 to 74 years,M4,Merced,August,2015.0,z,email,True,2012,True,
111177,3,SENIOR,63,2,65 to 74 years,X,Main Library,June,2016.0,z,email,True,2011,True,
349470,2,YOUNG ADULT,0,0,10 to 19 years,X,Main Library,February,2015.0,z,email,True,2014,True,
301927,0,ADULT,7,8,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2015,True,
97500,0,ADULT,2,0,20 to 24 years,M4,Merced,May,2015.0,z,email,True,2015,True,
359679,0,ADULT,39,7,60 to 64 years,M8,Mission Bay,February,2016.0,z,email,True,2003,True,
153214,0,ADULT,5,0,20 to 24 years,M8,Mission Bay,December,2015.0,z,email,True,2014,True,6.0
206665,0,ADULT,2,3,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2016,True,
110737,0,ADULT,15,3,65 to 74 years,X,Main Library,June,2016.0,z,email,True,2016,True,
78442,4,WELCOME,2,1,45 to 54 years,X,Main Library,December,2015.0,z,email,True,2014,True,
55953,3,SENIOR,95,12,65 to 74 years,W2,West Portal,February,2016.0,z,email,True,2012,True,
82182,0,ADULT,65,1,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2015,True,
94412,0,ADULT,47,97,35 to 44 years,X,Main Library,February,2016.0,p,phone,True,2006,True,
5379,3,SENIOR,82,9,65 to 74 years,W4,Western Addition,December,2015.0,z,email,True,2009,True,
301187,0,ADULT,46,40,25 to 34 years,S7,Sunset,June,2016.0,z,email,True,2013,True,
74633,0,ADULT,7,2,25 to 34 years,X,Main Library,February,2016.0,z,email,True,2012,True,
142243,0,ADULT,18,10,20 to 24 years,X,Main Library,January,2016.0,z,email,True,2008,True,
181027,0,ADULT,38,34,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2016,True,
8422,0,ADULT,3,0,35 to 44 years,S7,Sunset,March,2015.0,z,email,True,2015,True,
232692,0,ADULT,11,5,35 to 44 years,M4,Merced,May,2016.0,z,email,True,2012,True,
83955,0,ADULT,1,0,55 to 59 years,X,Main Library,January,2016.0,z,email,True,2015,True,
409601,0,ADULT,23,8,45 to 54 years,M2,Marina,February,2015.0,z,email,True,2013,True,
219118,0,ADULT,207,10,45 to 54 years,G4,Glen Park,January,2016.0,z,email,True,2003,True,
179686,0,ADULT,15,36,25 to 34 years,X,Main Library,January,2015.0,z,email,True,2008,True,
171084,0,ADULT,2,0,55 to 59 years,R3,Richmond,June,2016.0,z,email,True,2016,True,
416376,1,JUVENILE,188,27,10 to 19 years,R3,Richmond,July,2016.0,z,email,True,2009,True,
48062,0,ADULT,28,10,45 to 54 years,I5,Ingleside,April,2016.0,z,email,True,2004,True,
27101,0,ADULT,105,42,25 to 34 years,X,Main Library,July,2015.0,z,email,True,2009,True,
25769,0,ADULT,5,1,35 to 44 years,M4,Merced,January,2016.0,z,email,True,2011,True,
203325,0,ADULT,12,3,45 to 54 years,M8,Mission Bay,January,2016.0,z,email,True,2015,True,
63974,0,ADULT,28,61,45 to 54 years,X,Main Library,March,2015.0,z,email,True,2007,True,
200641,0,ADULT,3,6,35 to 44 years,X,Main Library,May,2016.0,p,phone,True,2016,True,
58000,0,ADULT,16,3,55 to 59 years,W2,West Portal,August,2015.0,z,email,True,2003,True,
182000,0,ADULT,124,109,25 to 34 years,X,Main Library,July,2016.0,p,phone,True,2009,True,
137760,0,ADULT,175,253,45 to 54 years,I5,Ingleside,November,2015.0,z,email,True,2009,True,
14231,0,ADULT,0,0,25 to 34 years,X,Main Library,June,2016.0,z,email,True,2016,True,
271605,0,ADULT,26,2,25 to 34 years,X,Main Library,December,2015.0,z,email,True,2015,True,
230922,0,ADULT,13,0,60 to 64 years,R3,Richmond,June,2015.0,z,email,True,2011,True,
126787,0,ADULT,0,0,25 to 34 years,M8,Mission Bay,January,2015.0,z,email,True,2014,True,
145943,0,ADULT,22,0,35 to 44 years,X,Main Library,September,2015.0,p,phone,False,2010,True,
159282,0,ADULT,4,4,20 to 24 years,S7,Sunset,May,2016.0,z,email,True,2015,True,
137338,0,ADULT,11,0,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2010,True,
59277,0,ADULT,4,1,35 to 44 years,X,Main Library,June,2016.0,z,email,True,2016,True,
326670,1,JUVENILE,223,30,10 to 19 years,S7,Sunset,July,2016.0,z,email,True,2010,True,
96569,0,ADULT,170,69,35 to 44 years,M6,Mission,May,2016.0,z,email,True,2003,True,
60389,0,ADULT,1,0,35 to 44 years,S7,Sunset,January,2016.0,z,email,True,2014,True,
54085,0,ADULT,2,0,25 to 34 years,X,Main Library,August,2015.0,z,email,True,2012,True,
24782,0,ADULT,31,42,45 to 54 years,W4,Western Addition,July,2015.0,z,email,True,2008,True,
204053,3,SENIOR,29,22,65 to 74 years,X,Main Library,May,2015.0,z,email,True,2005,True,
282770,0,ADULT,22,0,35 to 44 years,R3,Richmond,January,2015.0,z,email,True,2014,True,
74964,0,ADULT,221,83,45 to 54 years,X,Main Library,June,2015.0,a,print,False,2011,True,
137516,0,ADULT,24,0,25 to 34 years,X,Main Library,May,2016.0,z,email,True,2011,True,
209612,0,ADULT,4,0,45 to 54 years,E9,Excelsior,January,2015.0,z,email,True,2013,True,
88291,0,ADULT,8,1,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2015,True,
359322,2,YOUNG ADULT,8,0,10 to 19 years,E9,Excelsior,June,2015.0,p,phone,False,2015,True,
119255,0,ADULT,204,0,25 to 34 years,I5,Ingleside,October,2015.0,z,email,True,2009,True,
108806,0,ADULT,7,7,55 to 59 years,X,Main Library,November,2015.0,z,email,True,2008,True,
81648,0,ADULT,2,0,25 to 34 years,E9,Excelsior,December,2015.0,p,phone,False,2015,True,
346690,2,YOUNG ADULT,4,0,10 to 19 years,G4,Glen Park,September,2015.0,z,email,True,2013,True,
322098,0,ADULT,95,22,10 to 19 years,O7,Ortega,April,2015.0,z,email,True,2003,True,
202072,0,ADULT,43,14,60 to 64 years,M8,Mission Bay,July,2015.0,z,email,True,2010,True,
152068,0,ADULT,3,4,25 to 34 years,M6,Mission,January,2016.0,p,phone,False,2015,True,
111582,0,ADULT,3,0,25 to 34 years,W4,Western Addition,September,2015.0,z,email,True,2003,True,
208751,0,ADULT,5,5,20 to 24 years,X,Main Library,March,2016.0,z,email,True,2012,True,
158323,4,WELCOME,1,0,20 to 24 years,X,Main Library,January,2015.0,z,email,True,2014,True,
393313,0,ADULT,17,28,10 to 19 years,X,Main Library,July,2016.0,z,email,True,2009,True,
402451,0,ADULT,3,0,10 to 19 years,X,Main Library,December,2015.0,p,phone,False,2015,True,
280655,0,ADULT,1,1,25 to 34 years,I5,Ingleside,June,2016.0,z,email,True,2016,True,
103101,0,ADULT,12,0,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2012,True,
274795,0,ADULT,5,0,45 to 54 years,X,Main Library,June,2016.0,p,phone,True,2015,True,
217816,0,ADULT,17,14,25 to 34 years,M4,Merced,May,2016.0,z,email,True,2015,True,
227195,0,ADULT,38,6,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2003,True,
291014,0,ADULT,59,15,45 to 54 years,X,Main Library,October,2015.0,z,email,True,2003,True,
93727,0,ADULT,10,26,25 to 34 years,P3,Parkside,July,2016.0,z,email,True,2014,True,
38372,5,STAFF,101,122,25 to 34 years,W4,Western Addition,July,2016.0,z,email,True,2015,True,5.0
67743,0,ADULT,15,4,20 to 24 years,X,Main Library,March,2016.0,z,email,True,2012,True,
195827,0,ADULT,6,5,60 to 64 years,X,Main Library,August,2015.0,z,email,True,2015,True,
175179,0,ADULT,13,17,25 to 34 years,X,Main Library,December,2015.0,z,email,True,2013,True,
115967,0,ADULT,81,36,55 to 59 years,X,Main Library,April,2015.0,p,phone,False,2003,True,
200177,0,ADULT,1,2,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2016,True,
306443,0,ADULT,7,4,35 to 44 years,X,Main Library,June,2016.0,z,email,True,2011,True,
205374,0,ADULT,12,2,20 to 24 years,X,Main Library,July,2016.0,z,email,True,2010,True,
266502,0,ADULT,137,8,45 to 54 years,P3,Parkside,July,2016.0,p,phone,True,2013,True,
327061,0,ADULT,86,132,55 to 59 years,X,Main Library,April,2015.0,p,phone,True,2014,True,
32250,0,ADULT,4,0,35 to 44 years,M6,Mission,December,2015.0,z,email,True,2006,True,
27758,0,ADULT,2,2,20 to 24 years,X,Main Library,January,2016.0,z,email,True,2015,True,
211041,0,ADULT,5,9,35 to 44 years,X,Main Library,November,2015.0,z,email,True,2015,True,
173516,3,SENIOR,108,0,65 to 74 years,X,Main Library,May,2016.0,p,phone,False,2015,True,
117685,0,ADULT,22,25,45 to 54 years,X,Main Library,June,2016.0,z,email,True,2003,True,
109461,0,ADULT,72,4,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2012,True,
209343,0,ADULT,8,3,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2014,True,
150939,0,ADULT,19,15,55 to 59 years,P3,Parkside,February,2016.0,z,email,True,2013,True,
209779,0,ADULT,26,5,45 to 54 years,M4,Merced,June,2016.0,z,email,True,2015,True,
202367,0,ADULT,10,18,20 to 24 years,X,Main Library,May,2015.0,z,email,True,2014,True,
309559,0,ADULT,4,4,25 to 34 years,X,Main Library,February,2016.0,z,email,True,2015,True,
54335,0,ADULT,67,34,45 to 54 years,X,Main Library,December,2015.0,z,email,True,2006,True,
51302,0,ADULT,7,18,35 to 44 years,M6,Mission,April,2016.0,z,email,True,2012,True,
66385,10,VISITOR,0,0,60 to 64 years,X,Main Library,February,2015.0,z,email,True,2009,True,
138221,0,ADULT,11,10,60 to 64 years,X,Main Library,March,2015.0,p,phone,False,2012,True,
90503,0,ADULT,15,5,35 to 44 years,X,Main Library,April,2015.0,z,email,True,2009,True,
291485,0,ADULT,20,21,25 to 34 years,X,Main Library,February,2016.0,z,email,True,2012,True,
5296,0,ADULT,161,103,45 to 54 years,X,Main Library,December,2015.0,z,email,True,2009,True,
6328,0,ADULT,9,0,45 to 54 years,O7,Ortega,January,2016.0,z,email,True,2012,True,
193243,0,ADULT,44,40,25 to 34 years,M4,Merced,June,2016.0,z,email,True,2012,True,
69503,0,ADULT,18,0,35 to 44 years,O7,Ortega,November,2015.0,z,email,True,2015,True,
159450,0,ADULT,232,28,35 to 44 years,X,Main Library,August,2015.0,z,email,True,2013,True,
260155,0,ADULT,26,12,35 to 44 years,P3,Parkside,March,2015.0,z,email,True,2003,True,
315681,0,ADULT,10,2,35 to 44 years,X,Main Library,August,2015.0,z,email,True,2012,True,
373677,2,YOUNG ADULT,2,0,10 to 19 years,X,Main Library,March,2015.0,z,email,True,2013,True,
214802,4,WELCOME,1,0,20 to 24 years,X,Main Library,March,2016.0,z,email,True,2016,True,
102151,0,ADULT,13,23,20 to 24 years,X,Main Library,September,2015.0,z,email,True,2014,True,
124212,0,ADULT,0,0,25 to 34 years,G4,Glen Park,February,2015.0,z,email,True,2013,True,
256513,0,ADULT,1,0,35 to 44 years,X,Main Library,September,2015.0,z,email,True,2012,True,
175810,0,ADULT,3,5,25 to 34 years,X,Main Library,March,2016.0,z,email,True,2014,True,
220474,0,ADULT,5,0,45 to 54 years,X,Main Library,March,2016.0,z,email,True,2016,True,
140030,0,ADULT,1,0,25 to 34 years,X,Main Library,June,2016.0,z,email,True,2016,True,
31909,0,ADULT,1,0,25 to 34 years,X,Main Library,January,2016.0,p,phone,True,2013,True,
146908,3,SENIOR,127,5,65 to 74 years,E9,Excelsior,July,2016.0,p,phone,False,2012,True,
401207,0,ADULT,25,0,55 to 59 years,X,Main Library,June,2015.0,p,phone,False,2015,True,
188277,0,ADULT,237,269,55 to 59 years,X,Main Library,July,2016.0,z,email,True,2004,True,
236727,0,ADULT,22,33,25 to 34 years,M6,Mission,July,2016.0,z,email,True,2012,True,
273772,3,SENIOR,129,6,65 to 74 years,I5,Ingleside,January,2016.0,z,email,True,2004,True,
272768,0,ADULT,188,14,20 to 24 years,M6,Mission,March,2016.0,z,email,True,2003,True,
32062,0,ADULT,112,126,55 to 59 years,X,Main Library,July,2016.0,z,email,True,2004,True,
201043,0,ADULT,56,20,45 to 54 years,X,Main Library,September,2015.0,z,email,True,2015,True,
29005,3,SENIOR,215,5,65 to 74 years,X,Main Library,July,2016.0,z,email,True,2014,True,
282545,0,ADULT,15,3,25 to 34 years,X,Main Library,August,2015.0,z,email,True,2012,True,
39561,0,ADULT,232,299,25 to 34 years,X,Main Library,August,2015.0,z,email,True,2011,True,
272697,0,ADULT,1,0,45 to 54 years,X,Main Library,March,2016.0,z,email,True,2016,True,
234443,0,ADULT,9,13,25 to 34 years,X,Main Library,July,2016.0,a,print,False,2014,True,3.0
332761,0,ADULT,5,11,20 to 24 years,M4,Merced,December,2015.0,z,email,True,2014,True,
110346,0,ADULT,39,93,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2010,True,
319973,1,JUVENILE,24,0,10 to 19 years,P3,Parkside,April,2015.0,z,email,True,2009,True,
258581,0,ADULT,19,2,20 to 24 years,S7,Sunset,March,2016.0,z,email,True,2015,True,
234547,0,ADULT,82,27,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2015,True,
35302,0,ADULT,57,5,35 to 44 years,M6,Mission,March,2016.0,z,email,True,2004,True,
48599,0,ADULT,53,22,55 to 59 years,X,Main Library,June,2016.0,z,email,True,2003,True,
7358,0,ADULT,55,79,25 to 34 years,I5,Ingleside,August,2015.0,z,email,True,2003,True,
156170,0,ADULT,3,0,35 to 44 years,W2,West Portal,February,2016.0,z,email,True,2016,True,
205802,0,ADULT,23,32,45 to 54 years,X,Main Library,May,2016.0,z,email,True,2012,True,
363620,1,JUVENILE,3,0,10 to 19 years,M6,Mission,April,2015.0,a,print,False,2015,True,
38332,0,ADULT,2,2,20 to 24 years,X,Main Library,September,2015.0,z,email,True,2015,True,
157033,0,ADULT,22,3,45 to 54 years,O7,Ortega,June,2016.0,p,phone,False,2013,True,
48816,0,ADULT,117,50,45 to 54 years,X,Main Library,April,2015.0,p,phone,False,2003,True,
243531,0,ADULT,26,24,25 to 34 years,X,Main Library,March,2016.0,z,email,True,2014,True,
49510,0,ADULT,35,18,45 to 54 years,W4,Western Addition,April,2016.0,z,email,True,2012,True,
227509,0,ADULT,8,1,20 to 24 years,M8,Mission Bay,February,2016.0,p,phone,True,2010,True,
74453,0,ADULT,220,23,55 to 59 years,X,Main Library,May,2016.0,z,email,True,2003,True,
36590,0,ADULT,181,195,35 to 44 years,M6,Mission,September,2015.0,p,phone,False,2008,True,
181621,0,ADULT,9,7,20 to 24 years,M4,Merced,February,2016.0,z,email,True,2014,True,
157528,0,ADULT,0,0,25 to 34 years,X,Main Library,December,2015.0,z,email,True,2015,True,
192952,0,ADULT,55,0,60 to 64 years,W2,West Portal,September,2015.0,p,phone,False,2003,True,
27409,0,ADULT,1,0,45 to 54 years,R3,Richmond,May,2015.0,z,email,True,2015,True,
6768,0,ADULT,3,12,45 to 54 years,X,Main Library,April,2016.0,z,email,True,2016,True,
248897,0,ADULT,38,20,25 to 34 years,M4,Merced,September,2015.0,p,phone,False,2012,True,
166808,0,ADULT,196,7,45 to 54 years,M6,Mission,July,2016.0,p,phone,False,2010,True,
236148,0,ADULT,17,1,45 to 54 years,E9,Excelsior,May,2016.0,z,email,True,2003,True,
297473,0,ADULT,1,2,45 to 54 years,W4,Western Addition,January,2015.0,z,email,True,2014,True,
349204,2,YOUNG ADULT,15,0,10 to 19 years,O7,Ortega,January,2015.0,z,email,True,2014,True,
395140,0,ADULT,9,0,65 to 74 years,X,Main Library,February,2015.0,z,email,True,2003,True,
48739,10,VISITOR,9,0,20 to 24 years,M6,Mission,October,2015.0,z,email,True,2015,True,
68115,0,ADULT,44,2,45 to 54 years,X,Main Library,August,2015.0,z,email,True,2014,True,
284656,3,SENIOR,4,12,65 to 74 years,R3,Richmond,May,2015.0,p,phone,False,2015,True,
198580,0,ADULT,20,2,20 to 24 years,X,Main Library,May,2015.0,a,print,False,2014,True,6.0
78641,0,ADULT,20,0,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2016,True,
23916,0,ADULT,29,86,25 to 34 years,X,Main Library,March,2015.0,z,email,True,2014,True,
194703,0,ADULT,14,0,35 to 44 years,E9,Excelsior,July,2015.0,z,email,True,2010,True,
75238,0,ADULT,48,6,60 to 64 years,X,Main Library,February,2015.0,z,email,True,2003,True,
147948,0,ADULT,4,7,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2015,True,
297641,0,ADULT,2,6,25 to 34 years,X,Main Library,February,2015.0,z,email,True,2014,True,
299522,0,ADULT,5,0,25 to 34 years,X,Main Library,January,2015.0,z,email,True,2014,True,
167452,0,ADULT,8,23,35 to 44 years,X,Main Library,May,2016.0,z,email,True,2010,True,
132442,0,ADULT,3,0,55 to 59 years,X,Main Library,September,2015.0,z,email,True,2015,True,
133794,0,ADULT,1,2,55 to 59 years,X,Main Library,March,2015.0,z,email,True,2010,True,
134020,0,ADULT,8,5,25 to 34 years,X,Main Library,April,2015.0,z,email,True,2011,True,
6525,0,ADULT,1,0,60 to 64 years,X,Main Library,June,2015.0,z,email,True,2013,True,
374192,2,YOUNG ADULT,10,0,10 to 19 years,X,Main Library,June,2016.0,a,print,False,2011,True,
282547,0,ADULT,51,68,25 to 34 years,X,Main Library,January,2016.0,z,email,True,2014,True,
298216,0,ADULT,7,12,45 to 54 years,X,Main Library,February,2016.0,z,email,True,2015,True,
178002,3,SENIOR,93,72,65 to 74 years,X,Main Library,May,2016.0,z,email,True,2009,True,
22965,0,ADULT,23,22,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2009,True,
92021,0,ADULT,102,109,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2008,True,
84565,0,ADULT,33,21,20 to 24 years,X,Main Library,February,2016.0,z,email,True,2014,True,
254413,0,ADULT,4,0,20 to 24 years,X,Main Library,March,2016.0,p,phone,False,2016,True,
88339,0,ADULT,4,0,45 to 54 years,X,Main Library,April,2016.0,z,email,True,2016,True,
88066,0,ADULT,1,0,60 to 64 years,X,Main Library,October,2015.0,z,email,True,2015,True,
88857,0,ADULT,2,0,25 to 34 years,X,Main Library,June,2015.0,z,email,True,2015,True,
180509,0,ADULT,2,0,35 to 44 years,M8,Mission Bay,June,2016.0,z,email,True,2015,True,
208925,0,ADULT,27,2,45 to 54 years,W2,West Portal,June,2015.0,z,email,True,2014,True,
190496,0,ADULT,4,12,25 to 34 years,X,Main Library,August,2015.0,z,email,True,2015,True,
84233,0,ADULT,197,103,35 to 44 years,M8,Mission Bay,July,2016.0,z,email,True,2011,True,
71863,0,ADULT,22,23,25 to 34 years,X,Main Library,May,2016.0,z,email,True,2016,True,
114444,0,ADULT,0,0,25 to 34 years,X,Main Library,May,2015.0,z,email,True,2015,True,
24742,0,ADULT,6,6,55 to 59 years,X,Main Library,May,2016.0,z,email,True,2016,True,
97455,0,ADULT,65,0,55 to 59 years,M4,Merced,April,2015.0,z,email,True,2014,True,
414876,0,ADULT,1,3,25 to 34 years,X,Main Library,April,2016.0,z,email,True,2016,True,
169610,3,SENIOR,27,72,65 to 74 years,X,Main Library,January,2016.0,z,email,True,2015,True,
219456,0,ADULT,1,0,45 to 54 years,S7,Sunset,March,2016.0,z,email,True,2016,True,
22661,0,ADULT,5,0,25 to 34 years,M8,Mission Bay,July,2016.0,z,email,True,2012,True,
60142,0,ADULT,1,2,25 to 34 years,X,Main Library,July,2015.0,z,email,True,2015,True,
274145,3,SENIOR,5,15,65 to 74 years,X,Main Library,June,2015.0,z,email,True,2015,True,
99496,0,ADULT,117,45,20 to 24 years,P3,Parkside,January,2016.0,z,email,True,2007,True,
297506,4,WELCOME,1,0,20 to 24 years,P3,Parkside,May,2015.0,z,email,True,2015,True,
162182,3,SENIOR,100,36,65 to 74 years,X,Main Library,July,2016.0,z,email,True,2003,True,
279014,0,ADULT,2,0,35 to 44 years,X,Main Library,October,2015.0,z,email,True,2010,True,
200785,3,SENIOR,1,0,65 to 74 years,M4,Merced,June,2016.0,z,email,True,2016,True,
201672,0,ADULT,2,0,55 to 59 years,X,Main Library,April,2015.0,z,email,True,2015,True,
61873,0,ADULT,45,48,60 to 64 years,E9,Excelsior,March,2015.0,z,email,True,2014,True,
4521,4,WELCOME,1,0,20 to 24 years,X,Main Library,January,2016.0,z,email,True,2015,True,
287179,0,ADULT,1,1,25 to 34 years,G4,Glen Park,July,2016.0,z,email,True,2016,True,
174055,0,ADULT,7,0,45 to 54 years,M6,Mission,February,2016.0,a,print,False,2016,True,
157118,0,ADULT,210,243,25 to 34 years,E9,Excelsior,August,2015.0,z,email,True,2011,True,
111259,0,ADULT,11,21,45 to 54 years,X,Main Library,January,2016.0,z,email,True,2011,True,
409260,0,ADULT,236,50,35 to 44 years,M8,Mission Bay,April,2016.0,z,email,True,2014,True,
180036,0,ADULT,22,1,20 to 24 years,X,Main Library,July,2016.0,z,email,True,2010,True,
392348,1,JUVENILE,2,1,10 to 19 years,X,Main Library,July,2016.0,z,email,True,2014,True,
314554,0,ADULT,5,1,10 to 19 years,X,Main Library,July,2016.0,z,email,True,2015,True,
142744,0,ADULT,1,4,25 to 34 years,X,Main Library,November,2015.0,z,email,True,2015,True,
252250,0,ADULT,36,0,35 to 44 years,W2,West Portal,July,2015.0,p,phone,False,2003,True,
172278,0,ADULT,94,15,55 to 59 years,M8,Mission Bay,April,2015.0,z,email,True,2007,True,
11690,3,SENIOR,3,3,65 to 74 years,X,Main Library,April,2015.0,z,email,True,2015,True,
97986,0,ADULT,18,0,25 to 34 years,M4,Merced,January,2016.0,p,phone,False,2014,True,
138641,0,ADULT,123,247,55 to 59 years,W4,Western Addition,May,2016.0,z,email,True,2009,True,
180044,0,ADULT,0,0,45 to 54 years,R3,Richmond,December,2015.0,z,email,True,2015,True,
133555,0,ADULT,11,23,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2015,True,
292832,0,ADULT,14,16,45 to 54 years,X,Main Library,August,2015.0,z,email,True,2011,True,
237946,0,ADULT,24,1,25 to 34 years,X,Main Library,March,2016.0,z,email,True,2010,True,
